Date,Close,High,Low,Open,Volume
2024-11-19,505.0,515.0,498.0,500.0,37066100
2024-11-20,500.0,515.0,500.0,505.0,27220600
2024-11-21,510.0,510.0,498.0,500.0,43087600
2024-11-22,550.0,555.0,505.0,515.0,173454500
2024-11-25,520.0,555.0,520.0,550.0,35573500
2024-11-26,525.0,535.0,520.0,525.0,22329500
2024-11-28,510.0,530.0,505.0,525.0,38289900
2024-11-29,500.0,510.0,500.0,510.0,40059400
2024-12-02,505.0,515.0,500.0,500.0,24064200
2024-12-03,515.0,525.0,505.0,510.0,24115300
2024-12-04,530.0,535.0,515.0,520.0,35294100
2024-12-05,520.0,530.0,515.0,530.0,15070700
2024-12-06,510.0,525.0,510.0,520.0,14888400
2024-12-09,515.0,520.0,510.0,515.0,11577300
2024-12-10,535.0,540.0,515.0,515.0,45427600
2024-12-11,520.0,540.0,515.0,525.0,36089700
2024-12-12,520.0,525.0,510.0,520.0,20004900
2024-12-13,505.0,520.0,505.0,520.0,18864800
2024-12-16,496.0,505.0,478.0,505.0,151556500
2024-12-17,488.0,500.0,484.0,496.0,24481200
2024-12-18,480.0,492.0,480.0,490.0,15192700
2024-12-19,452.0,490.0,450.0,486.0,56720300
2024-12-20,462.0,462.0,448.0,454.0,45473100
2024-12-23,468.0,476.0,462.0,462.0,18454100
2024-12-24,454.0,470.0,454.0,468.0,15413200
2024-12-27,454.0,464.0,452.0,454.0,10695900
2024-12-30,458.0,474.0,450.0,452.0,34897300
2025-01-02,458.0,468.0,454.0,468.0,27492300
2025-01-03,458.0,466.0,454.0,458.0,103578700
2025-01-06,442.0,460.0,440.0,458.0,40950700
2025-01-07,440.0,450.0,434.0,440.0,24622300
2025-01-08,412.0,444.0,412.0,438.0,49163300
2025-01-09,412.0,422.0,406.0,410.0,29987300
2025-01-10,420.0,426.0,410.0,416.0,30707100
2025-01-13,416.0,428.0,414.0,422.0,27641100
2025-01-14,440.0,444.0,416.0,418.0,58234400
2025-01-15,436.0,448.0,434.0,442.0,28752100
2025-01-16,422.0,440.0,420.0,438.0,28677100
2025-01-17,418.0,426.0,416.0,422.0,19348400
2025-01-20,426.0,436.0,418.0,430.0,45809300
2025-01-21,422.0,434.0,422.0,428.0,16563000
2025-01-22,416.0,426.0,414.0,420.0,24380600
2025-01-23,416.0,426.0,416.0,416.0,27432400
2025-01-24,410.0,420.0,408.0,418.0,31625100
2025-01-30,390.0,412.0,390.0,410.0,39052500
2025-01-31,382.0,398.0,382.0,388.0,35884300
2025-02-03,376.0,392.0,370.0,388.0,30296100
2025-02-04,386.0,392.0,382.0,384.0,29109800
2025-02-05,380.0,390.0,380.0,386.0,17948000
2025-02-06,370.0,384.0,366.0,384.0,23180400
2025-02-07,376.0,382.0,360.0,376.0,36498800
2025-02-10,374.0,382.0,370.0,380.0,19164700
2025-02-11,386.0,390.0,368.0,376.0,37768700
2025-02-12,390.0,396.0,380.0,386.0,31216500
2025-02-13,392.0,408.0,384.0,394.0,64526100
2025-02-14,384.0,402.0,384.0,400.0,17085400
2025-02-17,384.0,398.0,380.0,384.0,47228500
2025-02-18,388.0,398.0,384.0,384.0,40891800
2025-02-19,374.0,396.0,372.0,390.0,32497800
2025-02-20,378.0,382.0,374.0,374.0,13866700
2025-02-21,378.0,390.0,376.0,380.0,27931000
2025-02-24,372.0,380.0,370.0,378.0,15256700
2025-02-25,354.0,376.0,352.0,376.0,23861100
2025-02-26,354.0,366.0,354.0,360.0,21636800
2025-02-27,338.0,360.0,336.0,354.0,30502500
2025-02-28,328.0,342.0,320.0,340.0,70079700
2025-03-03,328.0,350.0,326.0,328.0,87959500
2025-03-04,308.0,328.0,296.0,328.0,96010500
2025-03-05,286.0,316.0,284.0,306.0,87841700
2025-03-06,306.0,324.0,290.0,290.0,335747300
2025-03-07,310.0,332.0,304.0,308.0,239527200
2025-03-10,296.0,318.0,288.0,314.0,142274700
2025-03-11,286.0,294.0,276.0,294.0,99055600
2025-03-12,280.0,288.0,270.0,286.0,82100100
2025-03-13,276.0,286.0,272.0,280.0,62052900
2025-03-14,290.0,302.0,272.0,280.0,149405500
2025-03-17,322.0,330.0,292.0,292.0,294221700
2025-03-18,310.0,326.0,276.0,326.0,244696200
2025-03-19,304.0,314.0,296.0,314.0,100292800
2025-03-20,296.0,316.0,290.0,306.0,94382900
2025-03-21,284.0,306.0,284.0,304.0,101971600
2025-03-24,270.0,296.0,260.0,296.0,118620700
2025-03-25,288.0,292.0,268.0,276.0,91153700
2025-03-26,302.0,306.0,288.0,290.0,75626100
2025-03-27,300.0,318.0,296.0,296.0,119832600
2025-04-08,256.0,278.0,256.0,260.0,107260300
2025-04-09,242.0,264.0,238.0,250.0,92450400
2025-04-10,262.0,276.0,254.0,260.0,188225200
2025-04-11,252.0,276.0,250.0,262.0,156091100
2025-04-14,278.0,282.0,258.0,258.0,169174700
2025-04-15,278.0,292.0,278.0,284.0,156024700
2025-04-16,278.0,286.0,272.0,278.0,63464800
2025-04-17,282.0,298.0,278.0,278.0,190313000
2025-04-21,290.0,304.0,286.0,286.0,201534000
2025-04-22,324.0,330.0,292.0,294.0,313313500
2025-04-23,312.0,334.0,310.0,330.0,193171500
2025-04-24,312.0,322.0,304.0,312.0,158433500
2025-04-25,316.0,324.0,312.0,314.0,122355800
2025-04-28,328.0,330.0,308.0,316.0,142162200
2025-04-29,322.0,332.0,320.0,330.0,116470000
2025-04-30,310.0,326.0,310.0,324.0,120752100
2025-05-02,306.0,312.0,302.0,310.0,52833800
2025-05-05,348.0,352.0,314.0,314.0,790503300
2025-05-06,360.0,382.0,334.0,352.0,995525700
2025-05-07,354.0,368.0,352.0,362.0,479854200
2025-05-08,346.0,364.0,342.0,358.0,331938600
2025-05-09,340.0,362.0,338.0,348.0,201715500
2025-05-14,360.0,368.0,352.0,360.0,421359800
2025-05-15,362.0,372.0,360.0,362.0,319194400
2025-05-16,358.0,372.0,356.0,364.0,259349900
<<<<<<< Updated upstream
=======
2025-05-19,366.0,378.0,358.0,362.0,466509800
2025-05-20,354.0,370.0,350.0,368.0,256961500
2025-05-21,354.0,360.0,350.0,354.0,165022600
2025-05-22,352.0,358.0,350.0,354.0,107384200
2025-05-23,360.0,364.0,356.0,362.0,99118100
>>>>>>> Stashed changes
